timestamp(period=0.5),cpu(%),memory(GB),memory(%)
1614004721.61,32.0,7.16732788086,5.69827987872
1614004722.11,22.4,7.16889953613,5.69952940041
1614004722.61,41.6,7.1686706543,5.69934743123
1614004723.11,12.8,7.1696395874,5.70011776742
1614004723.61,9.6,7.16965484619,5.7001298987
1614004724.12,12.8,7.16921234131,5.69977809162
1614004724.62,12.8,7.1682510376,5.69901382107
1614004725.12,99.2,7.1992225647,5.72363728363
1614004725.62,160.0,7.22320556641,5.74270462063
1614004726.12,307.2,7.46168899536,5.93230740526
1614004726.62,230.4,7.55311584473,6.00499499327
1614004727.12,204.8,7.55530166626,6.00673279892
1614004727.62,214.4,7.5733795166,6.02110533113
1614004728.12,374.4,7.74101638794,6.15438258965
1614004728.62,377.6,7.89294433594,6.27517069695
1614004729.12,284.8,8.13374328613,6.4666144031
1614004729.62,275.2,8.22267532349,6.53731852707
1614004730.12,342.4,8.22796630859,6.54152504789
1614004730.62,374.4,8.24002838135,6.55111482355
1614004731.12,457.6,8.24621582031,6.55603405699
1614004731.62,694.4,8.25373077393,6.56200871165
1614004732.12,272.0,8.25936508179,6.56648818624
1614004732.63,227.2,8.26541900635,6.57130127099
1614004733.13,188.8,8.2751121521,6.57900766566
1614004733.63,150.4,8.27981185913,6.58274409944
1614004734.13,137.6,8.28620147705,6.58782407232
1614004734.63,211.2,8.29193878174,6.59238543304
1614004735.13,236.8,8.29777908325,6.59702867989
1614004735.63,252.8,8.31024551392,6.60693993443
1614004736.13,1088.0,8.32788467407,6.62096369239
1614004736.63,384.0,8.32888793945,6.62176132395
1614004737.13,236.8,8.32950973511,6.62225567355
1614004737.63,288.0,8.33115005493,6.62355978599
1614004738.13,336.0,8.33172988892,6.62402077457
1614004738.63,393.6,8.33271026611,6.62480020922
1614004739.13,377.6,8.33321380615,6.62520054141
1614004739.63,457.6,8.33643722534,6.62776327399
1614004740.13,412.8,8.33701324463,6.62822122976
1614004740.63,380.8,8.33757400513,6.62866705424
1614004741.13,406.4,8.3385848999,6.62947075144
1614004741.63,467.2,8.33893585205,6.62974977085
1614004742.13,352.0,8.3516998291,6.63989758532
1614004742.64,348.8,8.35136413574,6.63963069719
1614004743.14,374.4,8.35293197632,6.64087718606
1614004743.64,329.6,8.3528137207,6.64078316865
1614004744.14,384.0,8.35515594482,6.6426453199
1614004744.64,508.8,8.3553237915,6.64277876397
1614004745.14,473.6,8.39288330078,6.67263990602
1614004745.64,560.0,8.40605545044,6.68311223219
1614004746.14,524.8,8.40804290771,6.68469233122
1614004746.64,444.8,8.40814208984,6.68477118453
1614004747.14,441.6,8.40794372559,6.68461347791
1614004747.64,598.4,8.40601348877,6.68307887117
1614004748.14,598.4,8.39593505859,6.67506616172
1614004748.64,400.0,8.39603424072,6.67514501503
1614004749.14,588.8,8.39730834961,6.67615797678
1614004749.65,630.4,8.40021514893,6.67846898534
1614004750.15,300.8,8.39945983887,6.67786848705
1614004750.65,249.6,8.39878463745,6.67733167798
1614004751.15,262.4,8.39945983887,6.67786848705
1614004751.65,259.2,8.39890670776,6.67742872821
1614004752.15,272.0,8.39654541016,6.67555141286
1614004752.65,284.8,8.3964881897,6.67550592056
1614004753.15,278.4,8.39682769775,6.67577584151
1614004753.65,265.6,8.39728927612,6.67614281269
1614004754.15,313.6,8.39629364014,6.67535124676
1614004754.65,259.2,8.39742279053,6.67624896137
1614004755.15,272.0,8.39833068848,6.67697077244
1614004755.65,304.0,8.41333770752,6.68890188486
1614004756.15,313.6,8.41357421875,6.68908991967
1614004756.65,358.4,8.42789077759,6.70047209174
1614004757.15,380.8,8.43016815186,6.70228268505
1614004757.65,377.6,8.43076324463,6.70275580492
1614004758.15,336.0,8.43054962158,6.70258596702
1614004758.65,377.6,8.46207809448,6.72765222124
1614004759.15,371.2,8.4617767334,6.72741262849
1614004759.66,425.6,8.46488952637,6.7298874093
1614004760.16,396.8,8.46632385254,6.73102774948
1614004760.66,412.8,8.4435005188,6.71288238965
1614004761.16,432.0,8.44302368164,6.7125032872
1614004761.66,416.0,8.44320297241,6.71264582972
1614004762.16,438.4,8.44281387329,6.71233648212
1614004762.66,438.4,8.44416427612,6.71341010027
1614004763.16,422.4,8.44499969482,6.71407428776
1614004763.66,460.8,8.44540023804,6.71439273383
1614004764.16,486.4,8.44688034058,6.71556946784
1614004764.66,428.8,8.44878387451,6.71708284483
1614004765.16,422.4,8.44903564453,6.71728301093
1614004765.66,412.8,8.45132446289,6.71910270271
1614004766.16,454.4,8.45206832886,6.71969410253
1614004766.66,374.4,8.45499038696,6.72201724237
1614004767.16,441.6,8.45481109619,6.72187469985
1614004767.66,438.4,8.45831298828,6.72465882826
1614004768.17,432.0,8.45989227295,6.72591441559
1614004768.67,358.4,8.46304321289,6.7284195246
1614004769.17,342.4,8.46459579468,6.72965388219
1614004769.67,390.4,8.4647064209,6.72974183396
1614004770.17,457.6,8.46667861938,6.73130980171
1614004770.67,371.2,8.46664810181,6.73128553915
1614004771.17,489.6,8.4666557312,6.73129160479
1614004771.67,624.0,8.4529914856,6.72042804488
1614004772.17,371.2,8.45332336426,6.72069190019
1614004772.67,310.4,8.45373153687,6.72101641189
1614004773.17,371.2,8.45427703857,6.7214501051
1614004773.67,323.2,8.45586395264,6.72271175806
1614004774.17,358.4,8.45666885376,6.723351683
1614004774.67,345.6,8.4546546936,6.72175035424
1614004775.18,300.8,8.45812988281,6.72451325292
1614004775.68,342.4,8.45949172974,6.72559596953
1614004776.18,371.2,8.46036911011,6.72629351804
1614004776.68,352.0,8.46192932129,6.72753394127
1614004777.18,336.0,8.46127700806,6.72701532911
1614004777.68,326.4,8.4627532959,6.72818903031
1614004778.18,342.4,8.4581489563,6.72452841702
1614004778.68,307.2,8.46254348755,6.72802222523
1614004779.18,384.0,8.46272277832,6.72816476775
1614004779.68,412.8,8.47059249878,6.73442147464
1614004780.18,320.0,8.47217559814,6.73568009479
1614004780.68,329.6,8.47515106201,6.7380456941
1614004781.18,409.6,8.47536849976,6.73821856482
1614004781.68,387.2,8.46867752075,6.73289899919
1614004782.18,441.6,8.46910095215,6.73323564217
1614004782.68,406.4,8.47055435181,6.73439114645
1614004783.18,438.4,8.47043609619,6.73429712904
1614004783.68,380.8,8.47235107422,6.73581960449
1614004784.19,396.8,8.47237014771,6.73583476859
1614004784.69,342.4,8.47378921509,6.73696297749
1614004785.19,403.2,8.47407913208,6.73719347178
1614004785.69,352.0,8.47541809082,6.73825799147
